question,answer_a,answer_b,answer_c,answer_d,correct,type
What is the supreme law of the land?,The Declaration of Independence,The Constitution,The Bill of Rights,The Federalist Papers,b,single
What does the Constitution do?,Sets up the government,Declares independence from Britain,Establishes the military,Creates political parties,a,single
The idea of self-government is in the first three words of the Constitution. What are these words?,We the Citizens,We the People,We the States,We the Nation,b,single
What is an amendment?,An addition or change to the Constitution,A presidential order,A law passed by Congress,A Supreme Court ruling,a,single
What do we call the first ten amendments to the Constitution?,The Bill of Rights,The Articles of Confederation,The Declaration of Rights,The Magna Carta,a,single
What is one right or freedom from the First Amendment?,The right to bear arms,The right to a fair trial,Freedom of speech,The right to vote,c,single
How many amendments does the Constitution have?,10,15,22,27,d,single
What did the Declaration of Independence do?,Freed the slaves,Declared our independence from Great Britain,Established our government,Created the Constitution,b,single
What are two rights in the Declaration of Independence?,Life and liberty,Freedom and equality,Liberty and property,Justice and liberty,a,single
What is freedom of religion?,The right to practice any religion or no religion,The right to have a state church,Freedom to attend church on Sundays,The right to be free from religion,a,single
What is the economic system in the United States?,Socialism,Command economy,Capitalism,Mixed communism,c,single
What is the "rule of law"?,The government and citizens both follow the same laws,Only citizens follow the law,Laws only apply to the poor,The president makes all the laws,a,single
Name one branch or part of the government.,The Press,The military,Congress,The police,c,single
What stops one branch of government from becoming too powerful?,Checks and balances,The President's veto,The Supreme Court,The military,a,single
Who is in charge of the executive branch?,The President,The Speaker of the House,The Chief Justice,The Vice President,a,single
Who makes federal laws?,Congress,The President,The Supreme Court,The Cabinet,a,single
What are the two parts of the U.S. Congress?,Senate and House of Representatives,Senate and Supreme Court,House and Cabinet,Congress and Parliament,a,single
How many U.S. Senators are there?,50,100,435,535,b,single
We elect a U.S. Senator for how many years?,2,4,6,8,c,single
Who is one of your state's U.S. Senators now?,Answer varies by state,Answer varies by state,Answer varies by state,Answer varies by state,a,single
The House of Representatives has how many voting members?,100,200,435,535,c,single
We elect a U.S. Representative for how many years?,2,4,6,8,a,single
Name your U.S. Representative.,Answer varies by district,Answer varies by district,Answer varies by district,Answer varies by district,a,single
Who does a U.S. Senator represent?,All people of the state,Only registered voters,Only party members,Only the wealthy,a,single
Why do some states have more Representatives than other states?,Because of the state's size in area,Because of the state's population,Because of the state's wealth,Because of the state's history,b,single
We elect a President for how many years?,2,4,6,8,b,single
In what month do we vote for President?,June,September,November,December,c,single
What is the name of the President of the United States now?,Donald Trump,Joe Biden,Barack Obama,George W. Bush,a,single
What is the name of the Vice President of the United States now?,Mike Pence,Kamala Harris,Tim Walz,J.D. Vance,d,single
If the President can no longer serve who becomes President?,The Speaker of the House,The Secretary of State,The Vice President,The Chief Justice,c,single
If both the President and the Vice President can no longer serve who becomes President?,The Secretary of State,The Speaker of the House,The Senate Majority Leader,The Chief Justice,b,single
Who is the Commander in Chief of the military?,The Vice President,The Secretary of Defense,The President,The Chairman of the Joint Chiefs,c,single
Who signs bills to become laws?,The Vice President,The President,The Chief Justice,The Speaker of the House,b,single
Who vetoes bills?,The President,The Vice President,The Supreme Court,Congress,a,single
What does the President's Cabinet do?,Makes federal laws,Advises the President,Leads the military,Interprets the Constitution,b,single
What are two Cabinet-level positions?,Secretary of Defense and Secretary of State,Speaker and Majority Leader,Chief Justice and Attorney General,Mayor and Governor,a,single
What does the judicial branch do?,Makes the laws,Enforces the laws,Interprets the laws,Signs bills into law,c,single
What is the highest court in the United States?,The Court of Appeals,The Federal District Court,The Supreme Court,The Circuit Court,c,single
How many justices are on the Supreme Court?,7,8,9,11,c,single
Who is the Chief Justice of the United States now?,Elena Kagan,Sonia Sotomayor,John Roberts,Clarence Thomas,c,single
Under our Constitution some powers belong to the federal government. What is one power of the federal government?,Issue driver's licenses,Create an army,Approve zoning laws,Set school curriculum,b,single
Under our Constitution some powers belong to the states. What is one power of the states?,Print money,Create an army,Provide schooling and education,Declare war,c,single
Who is the Governor of your state now?,Answer varies by state,Answer varies by state,Answer varies by state,Answer varies by state,a,single
What is the capital of your state?,Answer varies by state,Answer varies by state,Answer varies by state,Answer varies by state,a,single
What are the two major political parties in the United States?,Republican and Libertarian,Democratic and Green,Democratic and Republican,Republican and Independent,c,single
What is the political party of the President now?,Democratic,Republican,Independent,Libertarian,b,single
What is the name of the Speaker of the House of Representatives now?,Nancy Pelosi,Kevin McCarthy,Mike Johnson,Hakeem Jeffries,c,single
There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens 16 and older can vote,Any person can vote,Citizens 18 and older can vote,Citizens must pass a test to vote,c,single
What is one responsibility that is only for United States citizens?,Freedom of speech,To drive a car,Serve on a jury,Pay taxes,c,single
Name one right only for United States citizens.,Freedom of speech,Freedom of religion,The right to vote in a federal election,The right to a fair trial,c,single
What are two rights of everyone living in the United States?,Freedom of speech and freedom to drive,Freedom of religion and freedom of speech,The right to vote and freedom of speech,The right to bear arms and freedom to work,b,single
What do we show loyalty to when we say the Pledge of Allegiance?,The President,The United States,The Constitution,The flag and the country,d,single
What is one promise you make when you become a United States citizen?,Give up loyalty to other countries,Serve in the military,Learn English,Pay higher taxes,a,single
How old do citizens have to be to vote for President?,16,18,21,25,b,single
What are two ways that Americans can participate in their democracy?,Vote and run for office,Pay taxes and drive,Go to school and work,Join the military and pay taxes,a,single
When is the last day you can send in federal income tax forms?,March 15,April 15,May 1,June 1,b,single
When must all men register for the Selective Service?,At age 16,At age 18,At age 21,At age 25,b,single
Who lived in America before the Europeans arrived?,Native Americans,Spanish explorers,French settlers,British colonists,a,single
What group of people was taken to America and sold as slaves?,Africans,Native Americans,Irish immigrants,Chinese laborers,a,single
Why did colonists come to America?,To find gold,To escape war in Europe,For freedom and economic opportunity,To conquer new lands,c,single
Who wrote the Declaration of Independence?,George Washington,Benjamin Franklin,Thomas Jefferson,John Adams,c,single
When was the Declaration of Independence adopted?,July 4 1776,June 12 1776,August 2 1776,September 17 1787,a,single
There were 13 original states. Name three.,Virginia New York and Massachusetts,Texas California and Florida,Ohio Illinois and Michigan,Nevada Arizona and Colorado,a,single
What happened at the Constitutional Convention?,The Declaration of Independence was signed,The Constitution was written,The Bill of Rights was adopted,The first President was elected,b,single
When was the Constitution written?,1776,1781,1787,1800,c,single
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,George Washington,Thomas Jefferson,James Madison,Patrick Henry,c,single
What is one thing Benjamin Franklin is famous for?,He wrote the Constitution,He was the first President,He was a U.S. diplomat,He led the Continental Army,c,single
What is the economic system of the United States?,Socialism,Pure capitalism,Free market economy,Command economy,c,single
What is one war fought by the United States in the 1800s?,World War I,The Civil War,The Korean War,The Vietnam War,b,single
Name the U.S. war between the North and the South.,The War of 1812,The Civil War,The Revolutionary War,The Spanish-American War,b,single
Name one problem that led to the Civil War.,The attack on Pearl Harbor,Slavery,Immigration,Taxation without representation,b,single
What was one important thing that Abraham Lincoln did?,Led the United States in World War I,Purchased Alaska,Freed the slaves (Emancipation Proclamation),Wrote the Declaration of Independence,c,single
What did the Emancipation Proclamation do?,Ended World War II,Freed the slaves in Confederate states,Gave women the right to vote,Created the income tax,b,single
What did Susan B. Anthony do?,She led the Underground Railroad,She fought for women's rights,She wrote the Declaration of Independence,She was the first woman elected to Congress,b,single
Name one war fought by the United States in the 1900s.,The Civil War,The War of 1812,World War I,The Mexican-American War,c,single
Why did the United States enter World War I?,Because Germany bombed Pearl Harbor,To stop communism in Southeast Asia,Because of the sinking of U.S. ships and to support democracy in Europe,To liberate concentration camps,c,single
When did all men and women get the right to vote?,1865,1919,1920,1964,c,single
What movement tried to end racial discrimination?,The Women's Suffrage Movement,The Civil Rights Movement,The Labor Movement,The Temperance Movement,b,single
What did Martin Luther King Jr. do?,He fought for civil rights and equality for all Americans,He wrote the Emancipation Proclamation,He led the United States in World War II,He was the first Black senator,a,single
Name one major American Indian tribe in the United States.,Spanish,African,Cherokee,European,c,single
Name one of the two longest rivers in the United States.,The Rio Grande,The Missouri River,The Mississippi River,The Colorado River,c,single
What ocean is on the West Coast of the United States?,The Atlantic Ocean,The Gulf of Mexico,The Arctic Ocean,The Pacific Ocean,d,single
What ocean is on the East Coast of the United States?,The Pacific Ocean,The Atlantic Ocean,The Indian Ocean,The Arctic Ocean,b,single
Name one U.S. territory.,Puerto Rico,Ireland,Greenland,Cuba,a,single
Name one state that borders Canada.,Florida,Texas,California,Montana,d,single
Name one state that borders Mexico.,Montana,New York,Texas,Illinois,c,single
What is the capital of the United States?,New York City,Philadelphia,Boston,Washington D.C.,d,single
Where is the Statue of Liberty?,Boston Harbor,New York Harbor,Philadelphia,Washington D.C.,b,single
Why does the flag have 13 stripes?,To represent the original 50 states,To represent the 13 original colonies,Because 13 is a lucky number,To honor the 13 signers of the Constitution,b,single
Why does the flag have 50 stars?,One for each state,One for each territory,One for each senator,One for each decade since independence,a,single
What is the name of the national anthem?,America the Beautiful,My Country 'Tis of Thee,The Star-Spangled Banner,God Bless America,c,single
When do we celebrate Independence Day?,June 14,July 4,September 17,November 11,b,single
Name two national U.S. holidays.,Christmas and Thanksgiving,Independence Day and Labor Day,Easter and Memorial Day,New Year's Day and Easter,b,single
What is the capital of the United States?,Philadelphia,New York,Chicago,Washington D.C.,d,single
Who was the first President?,John Adams,Thomas Jefferson,George Washington,Benjamin Franklin,c,single
What territory did the United States buy from France in 1803?,Alaska,Puerto Rico,The Louisiana Territory,The Oregon Territory,c,single
In 1803 the United States bought a large amount of land from France. Where was that land?,West of the Mississippi River,East of the Mississippi River,North of the Great Lakes,South of the Rio Grande,a,single
Name one of the writers of the Federalist Papers.,George Washington,Alexander Hamilton,Patrick Henry,Samuel Adams,b,single
What is the name of the national anthem of the United States?,God Bless America,America the Beautiful,The Star-Spangled Banner,Yankee Doodle,c,single
There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens must own property to vote,Citizens need a literacy test to vote,Citizens who are 18 or older can vote,Citizens must pay a poll tax to vote,c,single
What year was the Constitution written?,1776,1781,1787,1803,c,single
The House of Representatives has how many voting members?,200,300,435,535,c,single
What is the name of the Vice President of the United States now?,Mike Pence,Joe Biden,Kamala Harris,J.D. Vance,d,single
We elect a U.S. Senator for how many years?,2,4,6,8,c,single
What is one right or freedom from the First Amendment?,Right to bear arms,Right to a trial by jury,Freedom of the press,Right to vote,c,single
What do we call the first ten amendments to the Constitution?,The Articles of Confederation,The Bill of Rights,The Preamble,The Declaration of Rights,b,single
Who makes federal laws?,The President,The Supreme Court,Congress,The Cabinet,c,single
What is one promise you make when you become a United States citizen?,To become a resident,To give up allegiance to other countries,To learn a second language,To serve in the military,b,single
What is freedom of religion?,You may practice any religion or not practice a religion,The government tells you which religion to follow,Religion is banned in public,You must practice the national religion,a,single
Name the U.S. war between the North and the South.,The War of 1812,The Mexican-American War,The Civil War,The Spanish-American War,c,single
What was one important thing Abraham Lincoln did?,He wrote the Constitution,He purchased the Louisiana Territory,He declared independence from Britain,He preserved the Union and freed the slaves,d,single
Who was President during World War II?,Woodrow Wilson,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,b,single
During the Cold War what was the main concern of the United States?,Terrorism,The spread of communism,Environmental pollution,Nuclear power,b,single
What movement tried to end racial discrimination?,The Suffrage Movement,The Civil Rights Movement,The Progressive Movement,The Labor Movement,b,single
What did Martin Luther King Jr. do?,He founded the NAACP,He wrote the Civil Rights Act,He fought for equality for all Americans,He served as the first Black President,c,single
What major event happened on September 11 2001 in the United States?,A major hurricane hit New York,Terrorists attacked the United States,The United States declared war on Iraq,The stock market crashed,b,single
Name one American Indian tribe in the United States.,Apache,Portuguese,Korean,French,a,single
Name the longest river in the United States.,The Ohio River,The Colorado River,The Mississippi River,The Hudson River,c,single
What ocean is on the West Coast?,The Atlantic Ocean,The Indian Ocean,The Arctic Ocean,The Pacific Ocean,d,single
Name one U.S. territory.,Guam,Ireland,New Zealand,Canada,a,single
Why does the flag have 50 stars?,One for each territory,One for each original colony,One for each state,One for each amendment,c,single
What is the supreme law of the land?,The Bill of Rights,The Constitution,The Declaration of Independence,Federal law,b,single
Who is Father of Our Country?,Benjamin Franklin,John Adams,Thomas Jefferson,George Washington,d,single
What is the name of the national anthem?,America the Beautiful,Yankee Doodle,The Star-Spangled Banner,God Bless America,c,single
Name one state that borders Canada.,Florida,Texas,New Mexico,Alaska,d,single
What country did we fight during the Revolutionary War?,France,Spain,Great Britain,Germany,c,single
Who was President during the Great Depression and World War II?,Herbert Hoover,Calvin Coolidge,Franklin Roosevelt,Harry Truman,c,single
What did the civil rights movement accomplish?,It ended the Revolutionary War,It abolished slavery,It gained civil rights for African Americans,It gave women the right to vote,c,single
